,Year,Month_01,Month_02,Month_03,Month_04,Month_05,Month_06,Month_07,Month_08,Month_09,Month_10,Month_11,Month_12,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Month_Sin,Month_Cos,GDP,CPI,Unemployment,PMI,GDP_YOY,CPI_YOY,Unemployment_YOY,PMI_YOY,GDP_MOM,CPI_MOM,Unemployment_MOM,PMI_MOM,SPY_Return,SPY_Return_Prev1M,SPY_Return_Prev2M,QQQ_Return,QQQ_Return_Prev1M,QQQ_Return_Prev2M,Next_Month_SPY,Next_Month_QQQ,Processing_Date
0,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.8660254037844386,0.5000000000000001,20771.691,262.005,6.7,96.6674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.17,2.24,1.72,1.495,1.72,2.17,1.495,2025-01-19
1,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.5000000000000004,0.8660254037844384,20771.691,262.005,6.7,96.6674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.17,2.24,1.72,1.495,1.72,2.17,1.495,2025-01-19
2,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-2.4492935982947064e-16,1.0,20771.691,262.005,6.7,96.6674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.17,2.24,1.72,1.495,1.72,-1.02,0.26,2025-01-19
3,2021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.49999999999999994,0.8660254037844387,21058.379,262.518,6.4,97.6118,0.0,0.0,0.0,0.0,0.0,0.2,-4.48,0.98,-1.02,2.17,2.24,0.26,1.495,1.72,2.78,-0.13,2025-01-19
4,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,21058.379,263.583,6.2,93.5661,0.0,0.0,0.0,0.0,0.0,0.41,-3.13,-4.14,2.78,-1.02,2.24,-0.13,0.26,1.72,4.54,1.72,2025-01-19
5,2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,21058.379,264.91,6.1,96.5339,0.0,0.0,0.0,0.0,0.0,0.5,-1.61,3.17,4.54,2.78,-1.02,1.72,-0.13,0.26,5.29,5.91,2025-01-19
6,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,21389.005,266.752,6.1,96.603,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.07,5.29,4.54,2.78,5.91,1.72,-0.13,0.66,-1.2,2025-01-19
7,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,21389.005,268.452,5.8,97.7028,0.0,0.0,0.0,0.0,0.0,0.64,-4.92,1.14,0.66,5.29,4.54,-1.2,5.91,1.72,2.24,6.26,2025-01-19
8,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.2246467991473532e-16,-1.0,21389.005,270.664,5.9,97.798,0.0,0.0,0.0,0.0,0.0,0.82,1.72,0.1,2.24,0.66,5.29,6.26,-1.2,5.91,2.44,2.86,2025-01-19
9,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,21571.421,271.994,5.4,98.6215,0.0,0.0,0.0,0.0,0.0,0.49,-8.47,0.84,2.44,2.24,0.66,2.86,6.26,-1.2,2.98,4.22,2025-01-19
